"common.name","scientific.name","2006","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2021","2022","total"
"Accipiter sp.","Accipiter sp.",0,0,2,1,0,0,0,0,1,1,1,1,1,8
"Alder Flycatcher","Empidonax alnorum",0,13,60,67,88,58,86,64,78,100,56,113,112,895
"American Bittern","Botaurus lentiginosus",1,0,0,0,0,0,0,1,0,1,5,0,2,10
"American Black Duck","Anas rubripes",0,16,46,57,64,50,53,26,36,32,14,15,91,500
"American Crow","Corvus brachyrhynchos",0,42,241,260,245,204,216,243,281,307,356,286,502,3183
"American Goldfinch","Spinus tristis",0,26,203,154,188,162,159,221,221,311,277,207,354,2483
"American Kestrel","Falco sparverius",0,0,0,2,0,6,1,1,2,7,5,0,2,26
"American Oystercatcher","Haematopus palliatus",0,0,0,0,0,0,0,0,0,2,1,2,1,6
"American Pipit","Anthus rubescens",0,0,0,0,0,0,0,0,1,0,0,0,0,1
"American Redstart","Setophaga ruticilla",0,20,105,114,176,156,121,97,127,168,190,195,187,1656
"American Robin","Turdus migratorius",0,21,137,105,158,169,148,168,168,179,183,153,217,1806
"American Woodcock","Scolopax minor",0,1,1,1,1,4,0,2,6,3,6,0,8,33
"Arctic Tern","Sterna paradisaea",0,300,751,606,378,100,43,30,82,10,21,15,61,2397
"Atlantic Puffin","Fratercula arctica",0,150,447,263,195,200,42,106,86,69,112,61,130,1861
"Bald Eagle","Haliaeetus leucocephalus",0,4,32,37,28,26,38,30,67,40,46,21,61,430
"Baltimore Oriole","Icterus galbula",0,0,1,0,1,1,3,1,4,4,17,5,1,38
"Bank Swallow","Riparia riparia",0,0,1,2,0,7,12,0,2,0,0,0,0,24
"Barn Swallow","Hirundo rustica",0,2,30,10,24,53,20,31,29,17,59,13,27,315
"Barred Owl","Strix varia",0,2,3,3,5,4,15,4,16,22,14,16,17,121
"Bay-breasted Warbler","Setophaga castanea",0,0,3,4,5,14,3,11,9,9,17,1,5,81
"Belted Kingfisher","Megaceryle alcyon",0,3,3,3,6,9,4,7,9,2,12,7,6,71
"Bicknell's Thrush","Catharus bicknelli",0,0,0,0,0,1,6,8,3,6,0,8,6,38
"Black Guillemot","Cepphus grylle",0,138,531,1266,342,461,196,1019,694,792,554,646,1227,7866
"Black Scoter","Melanitta americana",0,0,160,231,73,329,377,98,832,570,435,181,8,3294
"Black Tern","Chlidonias niger",0,0,0,0,0,18,20,0,18,1,3,0,0,60
"Black-and-white Warbler","Mniotilta varia",0,16,41,25,80,64,98,91,72,93,146,98,146,970
"Black-backed Woodpecker","Picoides arcticus",0,0,1,0,1,0,1,2,2,0,0,0,0,7
"Black-bellied Plover","Pluvialis squatarola",0,0,0,6,0,0,2,5,52,1,170,0,47,283
"Black-bellied Whistling-Duck","Dendrocygna autumnalis",0,0,0,0,6,0,0,0,0,0,0,0,0,6
"Black-billed Cuckoo","Coccyzus erythropthalmus",0,0,1,1,6,0,2,1,4,2,1,4,9,31
"Black-capped Chickadee","Poecile atricapillus",0,51,122,192,183,161,145,226,174,189,206,176,257,2082
"Black-legged Kittiwake","Rissa tridactyla",0,0,0,2,0,0,0,0,0,0,0,0,6,8
"Black-throated Blue Warbler","Setophaga caerulescens",0,1,25,10,5,14,4,14,8,9,18,15,15,138
"Black-throated Green Warbler","Setophaga virens",0,80,240,303,447,345,316,299,386,380,378,368,432,3974
"blackbird sp.","Icteridae sp.",0,0,0,0,0,0,0,0,3,0,0,0,0,3
"Blackburnian Warbler","Setophaga fusca",0,32,45,56,59,54,63,66,72,62,71,107,83,770
"Blackpoll Warbler","Setophaga striata",0,0,0,0,5,28,30,25,17,47,31,19,29,231
"Blue Jay","Cyanocitta cristata",0,24,73,35,78,64,79,92,96,112,191,151,224,1219
"Blue-gray Gnatcatcher","Polioptila caerulea",0,0,0,0,1,0,0,0,0,1,0,0,0,2
"Blue-headed Vireo","Vireo solitarius",0,21,10,19,38,53,34,51,42,72,56,62,86,544
"Blue-winged Teal","Spatula discors",1,0,0,0,0,0,0,0,0,1,0,0,0,2
"Blue-winged Warbler","Vermivora cyanoptera",0,0,0,0,0,0,1,0,0,0,0,0,0,1
"Bobolink","Dolichonyx oryzivorus",0,1,17,19,24,12,17,38,30,22,25,4,20,229
"Bonaparte's Gull","Chroicocephalus philadelphia",0,0,37,0,2,0,0,0,2,3,9,0,11,64
"Boreal Chickadee","Poecile hudsonicus",0,0,15,7,5,3,9,4,8,3,1,6,2,63
"Broad-winged Hawk","Buteo platypterus",0,2,17,15,17,4,13,6,25,20,14,12,31,176
"Brown Booby","Sula leucogaster",0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Brown Creeper","Certhia americana",0,17,9,29,24,18,14,17,19,19,32,22,38,258
"Brown Thrasher","Toxostoma rufum",0,3,1,1,0,2,3,2,0,6,0,0,2,20
"Brown-headed Cowbird","Molothrus ater",0,1,0,1,2,1,1,2,4,9,3,0,2,26
"Bufflehead","Bucephala albeola",0,0,0,0,0,0,0,0,0,0,1,0,0,1
"Buteo sp.","Buteo sp.",0,0,0,0,0,1,0,1,0,0,0,1,0,3
